1|Imurointi 041197-340E|15|38
2|Imurointi 160601-5782|9|0
3|Imurointi 130995-6172|6|50
4|Imurointi 200444-690R|17|45
5|Imurointi 050774-788C|6|19
6|Imurointi 150174-064M|6|30
7|Imurointi 020990-424E|14|21
8|Imurointi 141105-2442|5|87
9|Imurointi 161273-765H|9|32
10|Imurointi 060253-666M|18|3
11|Imurointi 120204-526B|13|47
12|Imurointi 030522-870P|12|44
13|Imurointi 221262-988R|7|100
14|Imurointi 230243-444V|15|24
15|Imurointi 120850-733R|17|63
16|Imurointi 261102-874B|9|7
17|Imurointi 230360-1353|14|69
18|Imurointi 140424-997L|7|22
19|Imurointi 180187-654Y|6|89
20|Imurointi 210412-634A|16|25
21|Imurointi 150737-525T|13|75
22|Imurointi 051104-547S|8|17
23|Imurointi 080570-441F|11|25
24|Imurointi 041082-392E|6|76
25|Imurointi 161140-025A|10|91
26|Imurointi 160345-8913|13|38
27|Imurointi 240695-016B|13|29
28|Imurointi 200435-171N|9|48
29|Imurointi 080144-8923|8|33
30|Imurointi 271003-4260|9|38
31|Imurointi 070378-243W|7|50
32|Imurointi 060891-481A|17|41
33|Imurointi 200925-4238|8|53
